"wavelength","rho"
377.804178,0.10080569296
382.685861,0.1147633413
387.572321,0.13356387314
392.463556,0.15612215328
397.359567,0.17718320656
402.260354,0.19205360712
407.165917,0.2002493253
412.076256,0.20329830144
416.99137,0.2044381014
421.911261,0.2052911261
426.835928,0.20600390416
431.765371,0.2072296113
436.699589,0.2088798356
441.638584,0.21062603184
446.582355,0.2114367058
451.530901,0.21105505584
456.484224,0.21029220864
461.442322,0.20925191764
466.405196,0.20767516864
471.372847,0.20679797366
476.345273,0.20581166178
481.322475,0.2050090555
486.304453,0.2042
491.291208,0.20414835168
496.282738,0.20402565476
501.279044,0.20420232352
506.280126,0.2046280126
511.285984,0.20502571968
516.296618,0.20515186472
521.312028,0.20550992448
526.332213,0.20617993278
531.357175,0.2064814305
536.386913,0.20667226174
541.421427,0.20662842854
546.460716,0.20675842864
551.504782,0.20708057384
556.553623,0.20737571016
561.607241,0.20738930338
566.665634,0.20809993804
571.728804,0.2084728804
576.796749,0.20901560988
581.86947,0.2092878318
586.946968,0.2089053032
592.029241,0.20807239734
597.11629,0.2070037194
602.208115,0.2061142147
607.304716,0.20499296248
612.406093,0.20387065954
617.512246,0.20269706096
622.623175,0.2012081205
627.73888,0.199852224
632.859361,0.19877094058
637.984618,0.19746430696
643.11465,0.196463949
648.249459,0.19516017312
653.389044,0.19371884856
658.533404,0.19273465536
663.682541,0.19183714262
668.836454,0.19067925104
673.995142,0.18984068012
679.158606,0.18861876244
684.326847,0.18727501978
689.499863,0.1866500137
694.677655,0.1858515752
699.860224,0.18463354624
705.047568,0.18398382688
710.239688,0.18226164992
715.436584,0.18140395152
720.638256,0.18029787904
725.844704,0.17953242368
731.055928,0.17896769584
736.271928,0.17787105296
741.492704,0.17684175104
746.718256,0.17575944416
751.948583,0.17502719838
757.183687,0.1739448939
762.423567,0.17290611464
767.668222,0.17232644892
772.917654,0.17118305688
778.171861,0.17034625112
783.430845,0.1693765972
788.694604,0.16833497128
793.96314,0.1675451604
799.236451,0.16748472902
804.514538,0.16271458972
809.797402,0.16766903828
815.085041,0.16199319672
820.377456,0.16123009312
825.674647,0.1579143646
830.976614,0.16392256252
836.283357,0.15611232434
841.594876,0.15718800656
846.911171,0.16196487212
852.232242,0.1597606548
857.558089,0.1591232356
862.888711,0.16148658128
868.22411,0.159598301
873.564285,0.1575010001
878.909236,0.15816003192
884.258962,0.15737784912
889.613465,0.1565541149
894.972743,0.15709672916
900.336798,0.15537305616
905.705628,0.15498588744
911.079234,0.15459781448
916.457617,0.1536457617
921.840775,0.153852738
927.228709,0.15342170328
932.621419,0.15288542972
938.018905,0.1522981095
943.421167,0.1514157666
948.828205,0.1507171795
954.240019,0.15043039924
959.656609,0.1494686782
965.077975,0.1487015595
970.504117,0.14872942362
975.935035,0.1479877958
981.370729,0.1475
986.811198,0.14710153644
992.256444,0.14653538664
997.706466,0.14632109476
1003.161263,0.14593677474
1008.620837,0.14575516652
1014.085186,0.14561829628
1019.554312,0.14523565504
1025.028213,0.14410225704
1030.50689,0.144449311
1035.990343,0.14392077256
